Issue ID	Type	Area	Title	Assigned To	Priority	Status	Milestone
911	Defect	Skyline	Calibration Curve graph calculates concentrations on double-blanks (NaN or infinity)	guest	3	closed	23.1
910	Defect	Skyline	Synchonized integration has trouble with removed peaks	guest	3	closed	23.1
909	Defect	Skyline	Red dots for dotp values below the cut-off appear behind bars	guest	3	closed	23.1
908	Todo	Skyline	Command Line Enhancement Request : Include MS/MS Filtering Options	guest	3	closed	23.1
907	Defect	Skyline	ViewLibraryDlg right-click menu lagging behind Library Match right-click menu	guest	2	closed	23.1
906	Defect	Skyline	A few details working with Bruker PASER assay library lists	guest	3	closed	22.2
905	Defect	Skyline	IndexOutOfRangeException bringing up GraphFullScan immediately after modifying the document	guest	3	closed	22.2
904	Defect	Skyline	Store more spectrum and instrument information in .blib files when possible	guest	2	closed	23.1
903	Defect	Skyline	Show names of default settings, and save settings with document when exporting a transition list	guest	3	closed	22.2
902	Todo	Skyline	add an ion mobility range filter in Transition Settings IM tab similar to instrument settings tab's mz range filter	guest	3	closed	
901	Defect	Skyline	Newly added annotations don't show up in the Rule Editor	guest	3	closed	22.2
900	Defect	Skyline	Opening a .skyp file shows no progress until the file is downloaded	guest	3	closed	22.2
899	Todo	Skyline	Adding targets from DDA library seems useful to be able to specify a number of runs a peptide got ID'd in	guest	3	closed	23.1
898	Defect	Skyline	Record the Document Grid selection in the Undo/Redo buffer during Document Grid editing events	guest	3	closed	22.2
897	Todo	Skyline	Make Ctrl-Z (Undo) and Ctrl-Y (Redo) work in Document Grid	guest	2	closed	22.2
896	Defect	Skyline	"IMS library ""Use Results"" should ignore poor quality chromatographic peaks"	guest	3	closed	
895	Todo	Skyline	"""Split Graphs"" equivalent (stacked MS1 and MS/MS views) for Full Scan view"	guest	3	closed	
894	Todo	Skyline	"Make ""Use Results"" isolation scheme work for Import > Peptide Search of DIA"	guest	2	closed	22.2
893	Todo	Skyline	Need a way to turn off switching replicates in retention times - regression plot	guest	3	closed	22.1
892	Defect	Skyline	Export > Transition / Isolation List with scheduling seems broken for counting multiple methods	guest	1	closed	21.2
891	Defect	Skyline	Adjusting peak boundaries with non-quantitative transitions is confusing	guest	3	closed	22.2
890	Defect	Skyline	Audit log Skyline Version upgrade	guest	3	closed	22.1
889	Todo	Skyline	Make more instrument parameters available on Files in the Document Grid	guest	3	closed	22.1
888	Defect	Skyline	File > Import > Peptide Search with existing library reports the build settings in the Audit Log	guest	2	closed	22.2
887	Defect	Skyline	Smooth handling of .skyp file for server lacking credentials	guest	3	closed	22.1
886	Defect	Skyline	AutoQC Loader stops scrolling log text area after a wrapped line	guest	3	closed	22.1
885	Defect	Skyline	Dotp line graph points should be clickable for changing the active replicate	guest	3	closed	22.1
884	Defect	Skyline	Some user are really unhappy that they can't type transition lists into Skyline like they used to do	guest	3	closed	
883	Documentation	Skyline	Update tutorials with new library building interface	guest	2	closed	
882	Todo	Skyline	Clean out apparent IMS related cruft in Full Scan tab	guest	3	closed	
881	Defect	Skyline	Move Bruker timsTOF method export into BuildMethod	guest	3	closed	
880	Todo	Skyline	SSL format changes for Feature Detection	guest	3	closed	22.1
